ID,APS_ID,memberID,SequenceID
1606,0,70311,1
8152,24,70315,1
576,5,70317,1
13535,0,70318,1
15721,0,70320,1
406,0,70322,1
2611,4,70331,1
1713,0,70333,1
8405,15,70340,1
2873,0,70351,1
4035,0,70353,1
5475,21,70359,1
8886,0,70363,1
11728,0,70373,1
4548,0,70374,1
3124,0,70375,1
8275,0,70376,1
2870,0,70385,1
2718,0,70393,1
2858,0,70396,1
28590,0,70398,1
1305,0,70401,1
1858,0,70409,1
2732,24,70410,1
880,0,70413,1
612,23,70424,1
4448,0,70430,1
573,0,70431,1
1834,0,70435,1
6377,0,70436,1
878,1,70439,1
12506,0,70443,1
3121,0,70444,1
9858,0,70445,1
5160,0,70446,1
556,0,70447,1
2556,0,70453,1
11561,0,70454,1
1249,0,70462,1
940,0,70464,1
4788,0,70465,1
11719,0,70473,1
3710,3,70485,1
686,9,70486,1
3708,3,70487,1
2723,0,70490,1
3724,3,70492,1
2249,3,70494,1
15134,3,70495,1
3907,0,70496,1
6394,3,70499,1
3715,3,70501,1
1389,0,70504,1
18498,0,70506,1
3718,3,70508,1
5065,0,70515,1
3935,26,70518,1
1688,7,70519,1
1714,0,70520,1
4449,0,70531,1
2471,0,70533,1
4450,0,70535,1
3420,0,70541,1
1715,0,70547,1
1723,0,70548,1
871,0,70549,1
1716,0,70555,1
484,0,70557,1
604,0,70563,1
2520,16,70568,1
4451,3,70570,1
5832,23,70572,1
887,7,70573,1
9591,0,70578,1
2534,0,70579,1
807,0,70580,1
3497,4,70581,1
3209,0,70584,1
761,24,70585,1
652,20,70587,1
1335,13,70589,1
1711,4,70590,1
2706,0,70595,1
4124,0,70597,1
11729,0,70600,1
2847,0,70601,1
1359,19,70604,1
1783,7,70609,1
1576,4,70615,1
1821,4,70620,1
882,0,70621,1
1982,0,70625,1
9592,0,70629,1
3702,3,70634,1
27331,9,70634,2
2311,0,70635,1
1738,7,70640,1
1932,0,70643,1
11315,0,70650,1
1075,7,70655,1
5052,23,70661,1
5945,0,70664,1
570,26,70667,1
11537,0,70670,1
2208,0,70672,1
2467,0,70674,1
15241,0,70676,1
5396,1,70680,1
7960,0,70683,1
14094,0,70688,1
9043,4,70694,1
1577,0,70701,1
11576,17,70704,1
10738,0,70706,1
592,1,70720,1
5808,20,70721,1
1876,1,70723,1
664,6,70735,1
18355,0,70736,1
2606,2,70739,1
11953,0,70742,1
1416,0,70750,1
4945,0,70754,1
1406,0,70756,1
835,7,70767,1
3449,18,70770,1
6517,26,70772,1
8416,0,70774,1
6330,0,70780,1
28437,0,70781,1
5581,0,70782,1
9593,0,70786,1
8578,0,70788,1
1451,0,70789,1
9434,0,70793,1
11730,0,70794,1
15165,0,70799,1
3852,0,70813,1
4902,1,70820,1
4002,0,70821,1
2769,4,70825,1
16656,0,70830,1
8856,9,70837,1
16676,24,70843,1
2406,0,70846,1
1356,13,70848,1
5622,0,70850,1
13520,0,70855,1
2228,0,70857,1
3518,0,70860,1
2000,0,70863,1
2779,0,70874,1
7717,0,70879,1
10777,4,70881,1
8505,0,70884,1
9594,0,70885,1
5357,0,70892,1
1623,0,70903,1
745,26,70914,1
739,0,70917,1
9863,0,70918,1
4751,0,70924,1
560,3,70939,1
25891,7,70939,2
25892,30,70939,3
1434,0,70945,1
6924,0,70946,1
1086,7,70947,1
9287,0,70960,1
3208,0,70966,1
4047,0,70967,1
3651,0,70970,1
1779,6,70973,1
7660,6,70977,1
2266,6,70978,1
8248,6,70980,1
6339,23,70991,1
3247,7,70995,1
8303,0,71009,1
13733,0,71013,1
1103,7,71016,1
2755,5,71024,1
6277,0,71040,1
8106,0,71042,1
6363,0,71063,1
11338,0,71067,1
2915,0,71068,1
787,0,71077,1
15097,0,71078,1
1444,0,71079,1
2878,15,71087,1
396,0,71092,1
9595,0,71095,1
5179,0,71099,1
1571,0,71101,1
2493,16,71103,1
755,6,71105,1
1232,16,71106,1
2495,0,71108,1
2491,16,71110,1
4069,0,71111,1
16014,0,71113,1
3872,0,71114,1
2513,16,71116,1
29579,0,71120,1
11193,0,71121,1
2497,17,71125,1
8720,15,71131,1
11731,0,71136,1
1582,4,71137,1
4269,4,71138,1
6306,0,71141,1
2682,17,71145,1
2791,0,71146,1
2717,2,71151,1
11732,0,71154,1
13504,0,71155,1
1516,0,71174,1
7756,0,71179,1
498,0,71180,1
9258,0,71187,1
1409,0,71190,1
11733,0,71200,1
1169,12,71208,1
4497,4,71211,1
2341,0,71212,1
5008,7,71213,1
30761,5,71218,1
9596,0,71221,1
1958,0,71224,1
769,0,71225,1
1852,0,71228,1
8888,0,71229,1
486,0,71235,1
6311,0,71237,1
9312,24,71238,1
2883,0,71239,1
2564,0,71240,1
3132,5,71245,1
12320,0,71246,1
7600,5,71248,1
7610,5,71256,1
14286,0,71260,1
854,0,71264,1
1930,0,71271,1
2306,0,71272,1
875,0,71273,1
3241,0,71274,1
3956,15,71276,1
4940,20,71277,1
4932,22,71279,1
27845,20,71279,2
14519,0,71280,1
2539,0,71281,1
12322,0,71288,1
5178,0,71290,1
6265,0,71303,1
6309,26,71311,1
3680,3,71314,1
9152,15,71318,1
6624,0,71320,1
1505,0,71321,1
5412,0,71329,1
6689,0,71354,1
9172,15,71357,1
5817,1,71361,1
9129,15,71364,1
8052,0,71366,1
10389,4,71371,1
6010,9,71373,1
9433,9,71384,1
1744,7,71386,1
9597,0,71387,1
3948,0,71398,1
4303,4,71402,1
1111,7,71404,1
9864,0,71415,1
9209,15,71423,1
6176,0,71424,1
9598,0,71426,1
5429,0,71431,1
9522,0,71440,1
9599,0,71442,1
1923,0,71448,1
4012,26,71472,1
4446,0,71476,1
12661,0,71483,1
7657,0,71492,1
6422,0,71494,1
4055,23,71496,1
12413,0,71500,1
2373,26,71501,1
1689,7,71503,1
7767,0,71504,1
9246,0,71509,1
3172,0,71515,1
15700,0,71516,1
660,12,71517,1
2826,17,71519,1
2708,0,71520,1
751,0,71523,1
5400,26,71532,1
28529,26,71532,2
28530,26,71532,3
3922,23,71534,1
4798,0,71536,1
4095,0,71542,1
4452,0,71544,1
2304,0,71547,1
2898,0,71551,1
4188,7,71563,1
3871,0,71564,1
2313,0,71569,1
3869,17,71574,1
10530,3,71575,1
4789,0,71581,1
2711,0,71584,1
2781,26,71590,1
503,0,71593,1
8463,0,71594,1
5016,19,71597,1
3391,0,71600,1
9171,15,71603,1
8149,7,71608,1
585,4,71609,1
2861,0,71615,1
2247,13,71616,1
2765,0,71618,1
3885,0,71621,1
893,0,71622,1
3574,0,71623,1
2020,4,71638,1
1624,0,71640,1
833,0,71641,1
470,0,71643,1
1295,0,71644,1
13387,0,71652,1
422,0,71660,1
5394,0,71661,1
1387,4,71662,1
5824,0,71664,1
15160,0,71666,1
2417,3,71667,1
3149,0,71674,1
10929,0,71678,1
13530,0,71684,1
4378,4,71690,1
1050,0,71701,1
8642,8,71716,1
8627,8,71717,1
2984,0,71719,1
3187,13,71720,1
1854,0,71721,1
7142,0,71722,1
20114,0,71725,1
11734,0,71729,1
19120,0,71730,1
3713,3,71744,1
5980,0,71746,1
4104,0,71760,1
9411,0,71761,1
2483,7,71762,1
3378,3,71766,1
2395,0,71770,1
3380,29,71772,1
1578,0,71790,1
2404,0,71791,1
11735,0,71793,1
4910,0,71795,1
6958,0,71797,1
3248,0,71798,1
11352,0,71806,1
29401,0,71812,1
9749,0,71814,1
14284,4,71815,1
13541,0,71816,1
14661,0,71819,1
3294,0,71828,1
4093,0,71832,1
9417,0,71833,1
8345,0,71835,1
558,24,71837,1
5546,0,71839,1
13549,0,71842,1
2233,0,71843,1
5815,0,71844,1
11793,0,71846,1
4954,0,71850,1
3738,0,71851,1
1115,7,71856,1
3276,3,71862,1
6762,0,71863,1
14134,0,71864,1
11762,0,71865,1
4010,0,71872,1
914,0,71879,1
4071,0,71881,1
8594,0,71882,1
806,10,71884,1
2616,0,71891,1
8394,0,71895,1
2518,0,71906,1
1074,0,71907,1
4274,0,71912,1
2234,0,71919,1
13280,0,71924,1
7770,0,71926,1
8008,0,71927,1
13270,24,71929,1
6264,0,71933,1
5900,0,71937,1
597,4,71941,1
1815,0,71948,1
2679,0,71950,1
5499,0,71951,1
5836,0,71956,1
923,2,71960,1
924,0,71961,1
1288,0,71963,1
8020,0,71964,1
9602,0,71966,1
1346,13,71967,1
1354,13,71968,1
1840,4,71972,1
2536,0,71983,1
8423,0,71984,1
2322,0,71988,1
1756,7,71992,1
